dataset,method,importance_method,pool_factor,ndcg@5,recall@5,avg_tokens,compression_ratio,pool_time_s,score_time_s,seed,model
docvqa_test_subsampled,none,,1,0.5162240253686905,0.598,1069.682,0.0,4.0531158447265625e-06,69.61031723022461,,colmodernvbert
docvqa_test_subsampled,random,,2,0.4791899628639221,0.56,534.38,0.5004309692039317,,,42.0,colmodernvbert
docvqa_test_subsampled,hierarchical,,2,0.5184894460439682,0.6,534.38,0.5004309692039317,212.29994821548465,100.19475078582764,,colmodernvbert
docvqa_test_subsampled,topk,self_similarity,2,0.4513569461107254,0.532,534.38,0.5004309692039317,6.709613800048828,98.5271453857422,,colmodernvbert
docvqa_test_subsampled,weighted_hierarchical,self_similarity,2,0.518350799202919,0.602,534.38,0.5004309692039317,343.7867012023926,134.18509030342102,,colmodernvbert
docvqa_test_subsampled,protect_and_pool,self_similarity,2,0.5101589881181717,0.586,534.38,0.5004309692039317,151.3762013912201,148.66339135169983,,colmodernvbert
docvqa_test_subsampled,adaptive,self_similarity,2,0.5081554269790649,0.588,421.868,0.6056136309669603,378.1985995769501,147.7527322769165,,colmodernvbert
docvqa_test_subsampled,split_allocate,self_similarity,2,0.5120049071311951,0.59,534.38,0.5004309692039317,258.1026833057404,134.57294058799744,,colmodernvbert
docvqa_test_subsampled,topk,centroid_distance,2,0.4864374175071716,0.566,534.38,0.5004309692039317,7.427053689956665,140.53622007369995,,colmodernvbert
docvqa_test_subsampled,weighted_hierarchical,centroid_distance,2,0.5177003062963486,0.6,534.38,0.5004309692039317,441.0370945930481,141.26598525047302,,colmodernvbert
docvqa_test_subsampled,protect_and_pool,centroid_distance,2,0.5065620263814926,0.588,534.38,0.5004309692039317,179.3722698688507,162.66977620124817,,colmodernvbert
docvqa_test_subsampled,adaptive,centroid_distance,2,0.5157857875823975,0.6,564.372,0.4723927298019411,352.0358204841614,138.34778928756714,,colmodernvbert
docvqa_test_subsampled,split_allocate,centroid_distance,2,0.5113565804958343,0.588,534.38,0.5004309692039317,218.2791612148285,120.75689482688904,,colmodernvbert
docvqa_test_subsampled,random,,4,0.4368131486177444,0.518,267.18,0.7502248331747192,,,42.0,colmodernvbert
docvqa_test_subsampled,hierarchical,,4,0.509072423696518,0.588,267.18,0.7502248331747192,348.1234769821167,116.9950625896454,,colmodernvbert
docvqa_test_subsampled,topk,self_similarity,4,0.4048734364509582,0.476,267.18,0.7502248331747192,3.398468494415283,86.61632013320923,,colmodernvbert
docvqa_test_subsampled,weighted_hierarchical,self_similarity,4,0.4999125627279281,0.578,267.18,0.7502248331747192,311.09698247909546,107.73335719108582,,colmodernvbert
docvqa_test_subsampled,protect_and_pool,self_similarity,4,0.4792254754304886,0.556,267.18,0.7502248331747192,185.9954116344452,105.91524815559389,,colmodernvbert
docvqa_test_subsampled,adaptive,self_similarity,4,0.5012297527790069,0.588,208.564,0.8050224272260353,288.7832455635071,93.22754764556883,,colmodernvbert
docvqa_test_subsampled,split_allocate,self_similarity,4,0.5011791191101074,0.588,267.18,0.7502248331747192,140.39881348609924,103.20053791999815,,colmodernvbert
docvqa_test_subsampled,topk,centroid_distance,4,0.4073543616533279,0.466,267.18,0.7502248331747192,3.109187364578247,82.09700036048889,,colmodernvbert
docvqa_test_subsampled,weighted_hierarchical,centroid_distance,4,0.5098982117176056,0.586,267.18,0.7502248331747192,301.0298864841461,103.53917908668518,,colmodernvbert
docvqa_test_subsampled,protect_and_pool,centroid_distance,4,0.4775498942136764,0.562,267.18,0.7502248331747192,190.18644738197327,103.41220951080322,,colmodernvbert
docvqa_test_subsampled,adaptive,centroid_distance,4,0.5095641913414002,0.59,343.296,0.6790672368049571,257.33866333961487,102.6086699962616,,colmodernvbert
docvqa_test_subsampled,split_allocate,centroid_distance,4,0.5032477726936341,0.576,267.18,0.7502248331747192,140.84367728233337,113.39307379722597,,colmodernvbert
docvqa_test_subsampled,random,,8,0.365462192773819,0.444,133.1,0.8755704966522762,,,42.0,colmodernvbert
docvqa_test_subsampled,hierarchical,,8,0.4757987450361252,0.556,133.1,0.8755704966522762,297.70502066612244,100.04705262184144,,colmodernvbert
docvqa_test_subsampled,topk,self_similarity,8,0.339128121137619,0.406,133.1,0.8755704966522762,1.829671621322632,70.03076601028442,,colmodernvbert
docvqa_test_subsampled,weighted_hierarchical,self_similarity,8,0.4791956363916397,0.564,133.1,0.8755704966522762,302.3228905200958,87.38238596916199,,colmodernvbert
docvqa_test_subsampled,protect_and_pool,self_similarity,8,0.4124032485485077,0.484,133.1,0.8755704966522762,204.01284003257751,95.66229009628296,,colmodernvbert
docvqa_test_subsampled,adaptive,self_similarity,8,0.4622822546958923,0.546,103.782,0.9029786422506876,249.73712515831,92.78960633277892,,colmodernvbert
docvqa_test_subsampled,split_allocate,self_similarity,8,0.4581956902742385,0.534,133.1,0.8755704966522762,140.0147876739502,72.34931206703186,,colmodernvbert
docvqa_test_subsampled,topk,centroid_distance,8,0.3000795998573303,0.362,133.1,0.8755704966522762,1.8622355461120603,71.63315105438232,,colmodernvbert
docvqa_test_subsampled,weighted_hierarchical,centroid_distance,8,0.4744101116657257,0.556,133.1,0.8755704966522762,312.06020998954773,96.71452116966248,,colmodernvbert
docvqa_test_subsampled,protect_and_pool,centroid_distance,8,0.4331554795503616,0.524,133.1,0.8755704966522762,209.8656206130981,92.4208471775055,,colmodernvbert
docvqa_test_subsampled,adaptive,centroid_distance,8,0.489913645863533,0.57,164.446,0.8462664604994755,268.7464156150818,96.96143889427184,,colmodernvbert
docvqa_test_subsampled,split_allocate,centroid_distance,8,0.492361590385437,0.572,133.1,0.8755704966522762,152.4311981201172,73.66509866714478,,colmodernvbert
infovqa_test_subsampled,none,,1,0.8567,0.904,723.0,0.0,0.0,82.0,,colmodernvbert
docvqa_test_subsampled,importance_weighted_distance,self_similarity,2,0.5077100143432617,0.584,534.38,0.5004309692039317,25.20944094657898,22.43794012069702,,colmodernvbert
docvqa_test_subsampled,importance_weighted_distance,centroid_distance,2,0.5117940468788147,0.59,534.38,0.5004309692039317,27.223334074020386,27.34772276878357,,colmodernvbert
docvqa_test_subsampled,importance_weighted_distance,self_similarity,4,0.5073095079660416,0.588,267.18,0.7502248331747192,25.935524463653564,24.345701217651367,,colmodernvbert
docvqa_test_subsampled,importance_weighted_distance,centroid_distance,4,0.5115702843666077,0.59,267.18,0.7502248331747192,28.562239170074463,36.525044441223145,,colmodernvbert
docvqa_test_subsampled,importance_weighted_distance,self_similarity,8,0.4892632068395615,0.572,133.1,0.8755704966522762,30.91711711883545,33.93978309631348,,colmodernvbert
docvqa_test_subsampled,importance_weighted_distance,centroid_distance,8,0.4955713675022125,0.578,133.1,0.8755704966522762,37.55881690979004,42.55955672264099,,colmodernvbert
infovqa_test_subsampled,none,,1,0.8567,0.904,723.0,0.0,0.0,82.0,,colmodernvbert
infovqa_test_subsampled,hierarchical,,2,0.8501,0.896,361.0,0.501,121.7,105.4,,colmodernvbert
infovqa_test_subsampled,weighted_hierarchical,self_similarity,2,0.8497,0.9,361.0,0.501,124.6,112.9,,colmodernvbert
infovqa_test_subsampled,split_allocate,self_similarity,2,0.8466,0.892,361.0,0.501,91.3,88.7,,colmodernvbert
infovqa_test_subsampled,importance_weighted_distance,self_similarity,2,0.852,0.9,361.0,0.501,55.9,124.6,,colmodernvbert
infovqa_test_subsampled,weighted_hierarchical,centroid_distance,2,0.8488,0.896,361.0,0.501,157.4,116.8,,colmodernvbert
infovqa_test_subsampled,split_allocate,centroid_distance,2,0.849,0.898,361.0,0.501,93.3,95.0,,colmodernvbert
infovqa_test_subsampled,importance_weighted_distance,centroid_distance,2,0.8501,0.9,361.0,0.501,50.2,127.1,,colmodernvbert
infovqa_test_subsampled,random,n/a,2,0.8193805856704712,0.886,361.212,0.5006207470531796,,,,colmodernvbert
infovqa_test_subsampled,random,n/a,4,0.7711472228765488,0.838,180.604,0.7503131385468712,,,,colmodernvbert
infovqa_test_subsampled,hierarchical,n/a,4,0.8409373393058777,0.894,180.604,0.7503131385468712,36.247430086135864,8.042250156402588,,colmodernvbert
infovqa_test_subsampled,weighted_hierarchical,self_similarity,4,0.8365723980665207,0.894,180.604,0.7503131385468712,37.68182921409607,8.316342115402222,,colmodernvbert
infovqa_test_subsampled,split_allocate,self_similarity,4,0.8299553579092026,0.89,180.604,0.7503131385468712,13.897366046905518,8.028761625289917,,colmodernvbert
infovqa_test_subsampled,importance_weighted_distance,self_similarity,4,0.8396197836399079,0.89,180.604,0.7503131385468712,11.268235206604004,8.250078201293945,,colmodernvbert
infovqa_test_subsampled,weighted_hierarchical,centroid_distance,4,0.8409373393058777,0.894,180.604,0.7503131385468712,37.61352181434631,8.10509181022644,,colmodernvbert
infovqa_test_subsampled,split_allocate,centroid_distance,4,0.8448543360233307,0.892,180.604,0.7503131385468712,13.890607833862305,8.114774942398071,,colmodernvbert
infovqa_test_subsampled,importance_weighted_distance,centroid_distance,4,0.8459563884735107,0.894,180.604,0.7503131385468712,11.099332809448242,8.060818910598755,,colmodernvbert
infovqa_test_subsampled,random,n/a,8,0.7004482073783874,0.79,89.804,0.8758450593235101,,,,colmodernvbert
infovqa_test_subsampled,hierarchical,n/a,8,0.8204729313850403,0.876,89.804,0.8758450593235101,34.302703619003296,7.201998472213745,,colmodernvbert
infovqa_test_subsampled,weighted_hierarchical,self_similarity,8,0.8081162481307983,0.87,89.804,0.8758450593235101,34.76627516746521,7.096147298812866,,colmodernvbert
infovqa_test_subsampled,split_allocate,self_similarity,8,0.7981827354431152,0.86,89.804,0.8758450593235101,11.851579427719116,6.933539152145386,,colmodernvbert
infovqa_test_subsampled,importance_weighted_distance,self_similarity,8,0.8215285749435425,0.868,89.804,0.8758450593235101,8.750605583190918,7.064671277999878,,colmodernvbert
infovqa_test_subsampled,weighted_hierarchical,centroid_distance,8,0.8243842006921768,0.88,89.804,0.8758450593235101,34.6215033531189,6.932548761367798,,colmodernvbert
infovqa_test_subsampled,split_allocate,centroid_distance,8,0.8125677537918091,0.874,89.804,0.8758450593235101,11.482663869857788,6.754102945327759,,colmodernvbert
infovqa_test_subsampled,importance_weighted_distance,centroid_distance,8,0.8209053891897201,0.87,89.804,0.8758450593235101,8.676520824432373,7.061353921890259,,colmodernvbert
tatdqa_test,none,n/a,1,0.7261793186201507,0.8340348767288034,1080.346570397112,0.0,2.384185791015625e-06,20.749171018600464,,colmodernvbert
tatdqa_test,random,n/a,2,0.6871322386965864,0.7943475646422129,539.6895306859205,0.5004477771540086,,,,colmodernvbert
tatdqa_test,hierarchical,n/a,2,0.7174929768581815,0.8316295850871919,539.6895306859205,0.5004477771540086,48.2482590675354,17.99362063407898,,colmodernvbert
tatdqa_test,weighted_hierarchical,self_similarity,2,0.7187429412760364,0.8364401683704149,539.6895306859205,0.5004477771540086,50.10261058807373,18.385072231292725,,colmodernvbert
tatdqa_test,split_allocate,self_similarity,2,0.7132614753867085,0.8286229705351774,539.6895306859205,0.5004477771540086,19.082167148590088,18.17298412322998,,colmodernvbert
tatdqa_test,importance_weighted_distance,self_similarity,2,0.7174034586027309,0.8316295850871919,539.6895306859205,0.5004477771540086,13.964866876602173,18.5667724609375,,colmodernvbert
tatdqa_test,weighted_hierarchical,centroid_distance,2,0.7182361027309856,0.8322309079975947,539.6895306859205,0.5004477771540086,50.302260637283325,18.832473278045654,,colmodernvbert
tatdqa_test,split_allocate,centroid_distance,2,0.7206551899984524,0.8286229705351774,539.6895306859205,0.5004477771540086,18.961846113204956,18.048168659210205,,colmodernvbert
tatdqa_test,importance_weighted_distance,centroid_distance,2,0.7185922775796144,0.8286229705351774,539.6895306859205,0.5004477771540086,13.996435642242432,18.326258659362793,,colmodernvbert
tatdqa_test,random,n/a,4,0.6030645612414458,0.7294046903187011,269.8447653429603,0.7502238885770043,,,,colmodernvbert
tatdqa_test,hierarchical,n/a,4,0.7127286094681584,0.8262176788935659,269.8447653429603,0.7502238885770043,44.858696699142456,15.417002201080322,,colmodernvbert
tatdqa_test,weighted_hierarchical,self_similarity,4,0.7057884239103875,0.8171978352375225,269.8447653429603,0.7502238885770043,46.2771782875061,15.086632490158081,,colmodernvbert
tatdqa_test,split_allocate,self_similarity,4,0.6962001139832346,0.814792543595911,269.8447653429603,0.7502238885770043,15.255981922149658,14.952770233154297,,colmodernvbert
tatdqa_test,importance_weighted_distance,self_similarity,4,0.7081717425129604,0.8286229705351774,269.8447653429603,0.7502238885770043,11.1414213180542,15.075329065322876,,colmodernvbert
tatdqa_test,weighted_hierarchical,centroid_distance,4,0.7133128610419998,0.8268190018039687,269.8447653429603,0.7502238885770043,45.74367618560791,15.491766691207886,,colmodernvbert
tatdqa_test,split_allocate,centroid_distance,4,0.7090975646505281,0.8196031268791341,269.8447653429603,0.7502238885770043,15.353306293487549,14.966082572937012,,colmodernvbert
tatdqa_test,importance_weighted_distance,centroid_distance,4,0.7117237479874547,0.8214070956103428,269.8447653429603,0.7502238885770043,10.882646799087524,15.104912281036377,,colmodernvbert
tatdqa_test,random,n/a,8,0.5236301867989123,0.6428141912206855,134.42238267148014,0.8755747587349961,,,,colmodernvbert
tatdqa_test,hierarchical,n/a,8,0.6876542112301146,0.8087793144918821,134.42238267148014,0.8755747587349961,42.96652412414551,14.025257349014282,,colmodernvbert
tatdqa_test,weighted_hierarchical,self_similarity,8,0.6654189646566624,0.783523752254961,134.42238267148014,0.8755747587349961,43.554354667663574,13.889178991317749,,colmodernvbert
tatdqa_test,split_allocate,self_similarity,8,0.6216004557517804,0.7480457005411906,134.42238267148014,0.8755747587349961,13.66864538192749,13.390304327011108,,colmodernvbert
tatdqa_test,importance_weighted_distance,self_similarity,8,0.6844800765874224,0.7985568250150331,134.42238267148014,0.8755747587349961,9.285798072814941,13.683653593063354,,colmodernvbert
tatdqa_test,weighted_hierarchical,centroid_distance,8,0.6892123801910368,0.8117859290438966,134.42238267148014,0.8755747587349961,43.91653513908386,13.76080322265625,,colmodernvbert
tatdqa_test,split_allocate,centroid_distance,8,0.6909841439914646,0.8099819603126879,134.42238267148014,0.8755747587349961,13.737048149108887,13.466127395629883,,colmodernvbert
tatdqa_test,importance_weighted_distance,centroid_distance,8,0.6956835917443019,0.8069753457606735,134.42238267148014,0.8755747587349961,9.161008834838867,13.736708641052246,,colmodernvbert
arxivqa_test_subsampled,none,n/a,1,0.751624479174614,0.834,886.722,0.0,7.152557373046875e-07,11.56164002418518,,colmodernvbert
arxivqa_test_subsampled,random,n/a,2,0.7200879117250443,0.786,443.034,0.5003687739787668,,,,colmodernvbert
arxivqa_test_subsampled,hierarchical,n/a,2,0.7483378443717956,0.822,443.034,0.5003687739787668,56.97893834114075,10.326653242111206,,colmodernvbert
arxivqa_test_subsampled,weighted_hierarchical,self_similarity,2,0.7480795998573303,0.82,443.034,0.5003687739787668,60.88941049575806,10.819392681121826,,colmodernvbert
arxivqa_test_subsampled,split_allocate,self_similarity,2,0.7481909395456314,0.818,443.034,0.5003687739787668,24.698424100875854,10.617046356201172,,colmodernvbert
arxivqa_test_subsampled,importance_weighted_distance,self_similarity,2,0.7507739697694779,0.828,443.034,0.5003687739787668,19.287190675735474,10.494117021560669,,colmodernvbert
arxivqa_test_subsampled,weighted_hierarchical,centroid_distance,2,0.746980079293251,0.818,443.034,0.5003687739787668,61.24173021316528,10.921180486679077,,colmodernvbert
arxivqa_test_subsampled,split_allocate,centroid_distance,2,0.7446388840675354,0.822,443.034,0.5003687739787668,24.618350505828857,10.357225179672241,,colmodernvbert
arxivqa_test_subsampled,importance_weighted_distance,centroid_distance,2,0.7527940481901169,0.83,443.034,0.5003687739787668,19.638029098510742,10.51572322845459,,colmodernvbert
arxivqa_test_subsampled,random,n/a,4,0.6860677807331085,0.754,221.374,0.7503456551207707,,,,colmodernvbert
arxivqa_test_subsampled,hierarchical,n/a,4,0.7427254484891892,0.814,221.374,0.7503456551207707,54.50241804122925,8.711235284805298,,colmodernvbert
arxivqa_test_subsampled,weighted_hierarchical,self_similarity,4,0.7393935418128967,0.808,221.374,0.7503456551207707,54.245994091033936,8.888059854507446,,colmodernvbert
arxivqa_test_subsampled,split_allocate,self_similarity,4,0.7365842710733413,0.804,221.374,0.7503456551207707,19.33671259880066,8.679260969161987,,colmodernvbert
arxivqa_test_subsampled,importance_weighted_distance,self_similarity,4,0.7503580292463302,0.826,221.374,0.7503456551207707,14.306106567382812,8.930217266082764,,colmodernvbert
arxivqa_test_subsampled,weighted_hierarchical,centroid_distance,4,0.7429363087415696,0.814,221.374,0.7503456551207707,53.8086838722229,8.817661762237549,,colmodernvbert
arxivqa_test_subsampled,split_allocate,centroid_distance,4,0.7400275174379348,0.812,221.374,0.7503456551207707,18.36361789703369,8.350048780441284,,colmodernvbert
arxivqa_test_subsampled,importance_weighted_distance,centroid_distance,4,0.746033297419548,0.82,221.374,0.7503456551207707,13.800479650497437,8.679555654525757,,colmodernvbert
arxivqa_test_subsampled,random,n/a,8,0.6475595483779907,0.722,110.33,0.8755754340142683,,,,colmodernvbert
arxivqa_test_subsampled,hierarchical,n/a,8,0.7408640953302383,0.812,110.33,0.8755754340142683,49.59918928146362,7.586131811141968,,colmodernvbert
arxivqa_test_subsampled,weighted_hierarchical,self_similarity,8,0.7335192863941192,0.8,110.33,0.8755754340142683,50.21942758560181,7.593016624450684,,colmodernvbert
