dataset,method,importance_method,pool_factor,ndcg@5,recall@5,avg_tokens,compression_ratio,pool_time_s,score_time_s,seed,model
docvqa_test_subsampled,none,n/a,1,0.5162240253686905,0.598,1069.682,0.0,1.9073486328125e-06,10.573578596115112,,colmodernvbert
docvqa_test_subsampled,random,n/a,4,0.45843850064277647,0.552,267.18,0.7502248331747192,,,,colmodernvbert
docvqa_test_subsampled,hierarchical,n/a,4,0.509072423696518,0.588,267.18,0.7502248331747192,76.71561336517334,8.09778881072998,,colmodernvbert
docvqa_test_subsampled,weighted_hierarchical,self_similarity,4,0.49991256272792817,0.578,267.18,0.7502248331747192,77.98205018043518,8.04967188835144,,colmodernvbert
docvqa_test_subsampled,importance_weighted_distance,self_similarity,4,0.5073095079660416,0.588,267.18,0.7502248331747192,18.210778951644897,7.931579351425171,,colmodernvbert
docvqa_test_subsampled,importance_weighted_kmeans,self_similarity,4,0.4982028125524521,0.574,267.18,0.7502248331747192,169.43214774131775,7.974031686782837,,colmodernvbert
docvqa_test_subsampled,weighted_hierarchical,centroid_distance,4,0.5098982117176056,0.586,267.18,0.7502248331747192,78.68282985687256,8.038498401641846,,colmodernvbert
docvqa_test_subsampled,importance_weighted_distance,centroid_distance,4,0.5115702843666077,0.59,267.18,0.7502248331747192,18.246361255645752,7.936813831329346,,colmodernvbert
docvqa_test_subsampled,importance_weighted_kmeans,centroid_distance,4,0.4992254741191864,0.584,267.18,0.7502248331747192,173.55727696418762,8.013613939285278,,colmodernvbert
docvqa_test_subsampled,weighted_hierarchical,svd,4,0.5061399402618408,0.584,267.18,0.7502248331747192,77.72492790222168,8.07009220123291,,colmodernvbert
docvqa_test_subsampled,importance_weighted_distance,svd,4,0.5084930610656738,0.592,267.18,0.7502248331747192,18.214520931243896,7.900278568267822,,colmodernvbert
docvqa_test_subsampled,importance_weighted_kmeans,svd,4,0.5033188490867615,0.588,267.18,0.7502248331747192,163.02486896514893,8.026050329208374,,colmodernvbert
docvqa_test_subsampled,random,n/a,8,0.3876909651756287,0.478,133.1,0.8755704966522762,,,,colmodernvbert
docvqa_test_subsampled,hierarchical,n/a,8,0.4757987450361252,0.556,133.1,0.8755704966522762,73.23731565475464,7.3287718296051025,,colmodernvbert
docvqa_test_subsampled,weighted_hierarchical,self_similarity,8,0.4791956363916397,0.564,133.1,0.8755704966522762,74.16930937767029,7.355278253555298,,colmodernvbert
docvqa_test_subsampled,importance_weighted_distance,self_similarity,8,0.4892632068395615,0.572,133.1,0.8755704966522762,15.508925437927246,7.24329400062561,,colmodernvbert
docvqa_test_subsampled,importance_weighted_kmeans,self_similarity,8,0.49003939044475553,0.57,133.1,0.8755704966522762,105.10900473594666,7.473585367202759,,colmodernvbert
docvqa_test_subsampled,weighted_hierarchical,centroid_distance,8,0.4744101116657257,0.556,133.1,0.8755704966522762,74.85057973861694,7.298818111419678,,colmodernvbert
docvqa_test_subsampled,importance_weighted_distance,centroid_distance,8,0.49557136750221253,0.578,133.1,0.8755704966522762,16.055386066436768,7.389043092727661,,colmodernvbert
docvqa_test_subsampled,importance_weighted_kmeans,centroid_distance,8,0.4986090450286865,0.58,133.1,0.8755704966522762,109.53360080718994,7.38290548324585,,colmodernvbert
docvqa_test_subsampled,weighted_hierarchical,svd,8,0.47406777942180633,0.558,133.1,0.8755704966522762,75.78878164291382,7.526926517486572,,colmodernvbert
docvqa_test_subsampled,importance_weighted_distance,svd,8,0.4883734633922577,0.574,133.1,0.8755704966522762,15.848022699356079,7.619892120361328,,colmodernvbert
docvqa_test_subsampled,importance_weighted_kmeans,svd,8,0.4930131651163101,0.584,133.1,0.8755704966522762,103.12725853919983,7.62540078163147,,colmodernvbert
